state,year,refugees
Alabama,1980,
Alabama,1981,
Alabama,1982,
Alabama,1983,15
Alabama,1984,14
Alabama,1985,6
Alabama,1986,
Alabama,1987,
Alabama,1988,
Alabama,1989,
Alabama,1990,
Alabama,1991,
Alabama,1992,
Alabama,1993,
Alabama,1994,
Alabama,1995,
Alabama,1996,
Alabama,1997,
Alabama,1998,
Alabama,1999,
Alabama,2000,
Alabama,2001,
Alabama,2002,10
Alabama,2003,5
Alabama,2004,
Alabama,2005,
Alabama,2006,
Alabama,2007,
Alabama,2008,
Alabama,2009,5
Alabama,2010,8
Alabama,2011,5
Alabama,2012,7
Alabama,2013,9
Alabama,2014,1
Alabama,2015,
Alabama,2016,9
Alabama,2017,9
Alabama,2018,
Alaska,1980,
Alaska,1981,
Alaska,1982,
Alaska,1983,1
Alaska,1984,6
Alaska,1985,
Alaska,1986,
Alaska,1987,
Alaska,1988,
Alaska,1989,
Alaska,1990,
Alaska,1991,
Alaska,1992,
Alaska,1993,
Alaska,1994,
Alaska,1995,
Alaska,1996,
Alaska,1997,
Alaska,1998,
Alaska,1999,
Alaska,2000,
Alaska,2001,
Alaska,2002,
Alaska,2003,
Alaska,2004,
Alaska,2005,
Alaska,2006,
Alaska,2007,
Alaska,2008,
Alaska,2009,
Alaska,2010,
Alaska,2011,
Alaska,2012,
Alaska,2013,
Alaska,2014,
Alaska,2015,
Alaska,2016,
Alaska,2017,
Alaska,2018,
Arizona,1980,4
Arizona,1981,2
Arizona,1982,5
Arizona,1983,5
Arizona,1984,1
Arizona,1985,13
Arizona,1986,31
Arizona,1987,68
Arizona,1988,74
Arizona,1989,54
Arizona,1990,
Arizona,1991,53
Arizona,1992,56
Arizona,1993,32
Arizona,1994,
Arizona,1995,
Arizona,1996,
Arizona,1997,
Arizona,1998,1
Arizona,1999,21
Arizona,2000,125
Arizona,2001,284
Arizona,2002,198
Arizona,2003,107
Arizona,2004,45
Arizona,2005,130
Arizona,2006,82
Arizona,2007,22
Arizona,2008,77
Arizona,2009,36
Arizona,2010,40
Arizona,2011,16
Arizona,2012,19
Arizona,2013,53
Arizona,2014,47
Arizona,2015,37
Arizona,2016,191
Arizona,2017,65
Arizona,2018,83
Arkansas,1980,
Arkansas,1981,13
Arkansas,1982,
Arkansas,1983,
Arkansas,1984,
Arkansas,1985,
Arkansas,1986,2
Arkansas,1987,1
Arkansas,1988,
Arkansas,1989,
Arkansas,1990,
Arkansas,1991,
Arkansas,1992,
Arkansas,1993,
Arkansas,1994,
Arkansas,1995,
Arkansas,1996,
Arkansas,1997,
Arkansas,1998,
Arkansas,1999,
Arkansas,2000,
Arkansas,2001,
Arkansas,2002,
Arkansas,2003,
Arkansas,2004,
Arkansas,2005,
Arkansas,2006,
Arkansas,2007,
Arkansas,2008,
Arkansas,2009,
Arkansas,2010,
Arkansas,2011,
Arkansas,2012,
Arkansas,2013,
Arkansas,2014,
Arkansas,2015,
Arkansas,2016,
Arkansas,2017,
Arkansas,2018,
California,1980,7
California,1981,421
California,1982,117
California,1983,800
California,1984,851
California,1985,820
California,1986,1000
California,1987,1028
California,1988,861
California,1989,609
California,1990,68
California,1991,561
California,1992,807
California,1993,241
California,1994,12
California,1995,6
California,1996,2
California,1997,3
California,1998,4
California,1999,43
California,2000,224
California,2001,309
California,2002,201
California,2003,188
California,2004,100
California,2005,48
California,2006,59
California,2007,33
California,2008,42
California,2009,64
California,2010,98
California,2011,93
California,2012,118
California,2013,163
California,2014,132
California,2015,268
California,2016,442
California,2017,106
California,2018,132
Colorado,1980,
Colorado,1981,35
Colorado,1982,7
Colorado,1983,21
Colorado,1984,18
Colorado,1985,62
Colorado,1986,30
Colorado,1987,51
Colorado,1988,28
Colorado,1989,26
Colorado,1990,
Colorado,1991,12
Colorado,1992,32
Colorado,1993,9
Colorado,1994,
Colorado,1995,
Colorado,1996,
Colorado,1997,
Colorado,1998,11
Colorado,1999,12
Colorado,2000,17
Colorado,2001,22
Colorado,2002,29
Colorado,2003,31
Colorado,2004,6
Colorado,2005,5
Colorado,2006,22
Colorado,2007,
Colorado,2008,
Colorado,2009,2
Colorado,2010,4
Colorado,2011,
Colorado,2012,
Colorado,2013,18
Colorado,2014,17
Colorado,2015,20
Colorado,2016,43
Colorado,2017,18
Colorado,2018,19
Connecticut,1980,
Connecticut,1981,13
Connecticut,1982,
Connecticut,1983,21
Connecticut,1984,12
Connecticut,1985,14
Connecticut,1986,17
Connecticut,1987,5
Connecticut,1988,2
Connecticut,1989,3
Connecticut,1990,
Connecticut,1991,
Connecticut,1992,5
Connecticut,1993,
Connecticut,1994,
Connecticut,1995,
Connecticut,1996,
Connecticut,1997,
Connecticut,1998,
Connecticut,1999,3
Connecticut,2000,49
Connecticut,2001,31
Connecticut,2002,44
Connecticut,2003,21
Connecticut,2004,7
Connecticut,2005,32
Connecticut,2006,9
Connecticut,2007,10
Connecticut,2008,
Connecticut,2009,4
Connecticut,2010,23
Connecticut,2011,8
Connecticut,2012,14
Connecticut,2013,13
Connecticut,2014,4
Connecticut,2015,11
Connecticut,2016,38
Connecticut,2017,18
Connecticut,2018,17
Delaware,1980,
Delaware,1981,
Delaware,1982,
Delaware,1983,
Delaware,1984,
Delaware,1985,
Delaware,1986,8
Delaware,1987,
Delaware,1988,
Delaware,1989,5
Delaware,1990,
Delaware,1991,
Delaware,1992,
Delaware,1993,14
Delaware,1994,
Delaware,1995,
Delaware,1996,
Delaware,1997,
Delaware,1998,
Delaware,1999,
Delaware,2000,5
Delaware,2001,7
Delaware,2002,16
Delaware,2003,
Delaware,2004,
Delaware,2005,
Delaware,2006,
Delaware,2007,
Delaware,2008,
Delaware,2009,
Delaware,2010,
Delaware,2011,
Delaware,2012,
Delaware,2013,
Delaware,2014,
Delaware,2015,
Delaware,2016,
Delaware,2017,
Delaware,2018,2
DC,1980,6
DC,1981,56
DC,1982,25
DC,1983,24
DC,1984,37
DC,1985,13
DC,1986,60
DC,1987,49
DC,1988,47
DC,1989,13
DC,1990,21
DC,1991,
DC,1992,15
DC,1993,
DC,1994,
DC,1995,
DC,1996,
DC,1997,
DC,1998,9
DC,1999,26
DC,2000,4
DC,2001,1
DC,2002,
DC,2003,7
DC,2004,
DC,2005,
DC,2006,
DC,2007,
DC,2008,
DC,2009,
DC,2010,
DC,2011,
DC,2012,
DC,2013,
DC,2014,3
DC,2015,
DC,2016,4
DC,2017,
DC,2018,
Florida,1980,
Florida,1981,29
Florida,1982,4
Florida,1983,28
Florida,1984,35
Florida,1985,12
Florida,1986,36
Florida,1987,38
Florida,1988,23
Florida,1989,45
Florida,1990,
Florida,1991,6
Florida,1992,
Florida,1993,4
Florida,1994,
Florida,1995,
Florida,1996,
Florida,1997,
Florida,1998,
Florida,1999,16
Florida,2000,86
Florida,2001,144
Florida,2002,81
Florida,2003,31
Florida,2004,51
Florida,2005,35
Florida,2006,1
Florida,2007,8
Florida,2008,8
Florida,2009,9
Florida,2010,8
Florida,2011,3
Florida,2012,36
Florida,2013,17
Florida,2014,
Florida,2015,19
Florida,2016,77
Florida,2017,10
Florida,2018,7
Georgia,1980,2
Georgia,1981,14
Georgia,1982,6
Georgia,1983,70
Georgia,1984,40
Georgia,1985,35
Georgia,1986,72
Georgia,1987,58
Georgia,1988,54
Georgia,1989,77
Georgia,1990,14
Georgia,1991,45
Georgia,1992,72
Georgia,1993,75
Georgia,1994,
Georgia,1995,
Georgia,1996,
Georgia,1997,
Georgia,1998,8
Georgia,1999,60
Georgia,2000,121
Georgia,2001,137
Georgia,2002,92
Georgia,2003,67
Georgia,2004,33
Georgia,2005,74
Georgia,2006,48
Georgia,2007,9
Georgia,2008,29
Georgia,2009,16
Georgia,2010,67
Georgia,2011,27
Georgia,2012,49
Georgia,2013,25
Georgia,2014,32
Georgia,2015,37
Georgia,2016,119
Georgia,2017,38
Georgia,2018,34
Hawaii,1980,
Hawaii,1981,5
Hawaii,1982,20
Hawaii,1983,17
Hawaii,1984,11
Hawaii,1985,
Hawaii,1986,
Hawaii,1987,2
Hawaii,1988,1
Hawaii,1989,
Hawaii,1990,
Hawaii,1991,
Hawaii,1992,
Hawaii,1993,
Hawaii,1994,
Hawaii,1995,
Hawaii,1996,
Hawaii,1997,
Hawaii,1998,
Hawaii,1999,
Hawaii,2000,
Hawaii,2001,
Hawaii,2002,
Hawaii,2003,
Hawaii,2004,
Hawaii,2005,
Hawaii,2006,
Hawaii,2007,
Hawaii,2008,
Hawaii,2009,
Hawaii,2010,
Hawaii,2011,
Hawaii,2012,
Hawaii,2013,
Hawaii,2014,
Hawaii,2015,
Hawaii,2016,
Hawaii,2017,
Hawaii,2018,
Idaho,1980,
Idaho,1981,
Idaho,1982,
Idaho,1983,
Idaho,1984,
Idaho,1985,
Idaho,1986,
Idaho,1987,
Idaho,1988,
Idaho,1989,
Idaho,1990,
Idaho,1991,
Idaho,1992,8
Idaho,1993,
Idaho,1994,
Idaho,1995,
Idaho,1996,
Idaho,1997,
Idaho,1998,
Idaho,1999,
Idaho,2000,48
Idaho,2001,151
Idaho,2002,100
Idaho,2003,63
Idaho,2004,28
Idaho,2005,29
Idaho,2006,29
Idaho,2007,33
Idaho,2008,94
Idaho,2009,49
Idaho,2010,45
Idaho,2011,19
Idaho,2012,35
Idaho,2013,29
Idaho,2014,17
Idaho,2015,26
Idaho,2016,75
Idaho,2017,4
Idaho,2018,6
Illinois,1980,
Illinois,1981,14
Illinois,1982,
Illinois,1983,43
Illinois,1984,69
Illinois,1985,39
Illinois,1986,28
Illinois,1987,54
Illinois,1988,32
Illinois,1989,31
Illinois,1990,
Illinois,1991,2
Illinois,1992,16
Illinois,1993,6
Illinois,1994,
Illinois,1995,
Illinois,1996,
Illinois,1997,
Illinois,1998,
Illinois,1999,14
Illinois,2000,53
