state_fips,state,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Grand Total
1,Alabama,,,,15,14,6,,,,,,,,,,,,,,,,,10,5,,,,,,5,8,5,7,9,1,,9,9,,103
2,Alaska,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
4,Arizona,4,2,5,5,1,13,31,68,74,54,,53,56,32,,,,,1,21,125,284,198,107,45,130,82,22,77,36,40,16,19,53,47,37,191,65,83,2077
5,Arkansas,,13,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
6,California,7,421,117,800,851,820,1000,1028,861,609,68,561,807,241,12,6,2,3,4,43,224,309,201,188,100,48,59,33,42,64,98,93,118,163,132,268,442,106,132,11081
8,Colorado,,35,7,21,18,62,30,51,28,26,,12,32,9,,,,,11,12,17,22,29,31,6,5,22,,,2,4,,,18,17,20,43,18,19,627
9,Connecticut,,13,,21,12,14,17,5,2,3,,,5,,,,,,,3,49,31,44,21,7,32,9,10,,4,23,8,14,13,4,11,38,18,17,448
10,Delaware,,,,,,,8,,,5,,,,14,,,,,,,5,7,16,,,,,,,,,,,,,,,,2,57
11,DC,6,56,25,24,37,13,60,49,47,13,21,,15,,,,,,9,26,4,1,,7,,,,,,,,,,,3,,4,,,420
12,Florida,,29,4,28,35,12,36,38,23,45,,6,,4,,,,,,16,86,144,81,31,51,35,1,8,8,9,8,3,36,17,,19,77,10,7,907
13,Georgia,2,14,6,70,40,35,72,58,54,77,14,45,72,75,,,,,8,60,121,137,92,67,33,74,48,9,29,16,67,27,49,25,32,37,119,38,34,1756
15,Hawaii,,5,20,17,11,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
16,Idaho,,,,,,,,,,,,,8,,,,,,,,48,151,100,63,28,29,29,33,94,49,45,19,35,29,17,26,75,4,6,888
17,Illinois,,14,,43,69,39,28,54,32,31,,2,16,6,,,,,,14,53,66,75,66,20,10,1,5,5,,3,7,30,11,43,48,123,33,27,974
18,Indiana,,14,1,20,4,8,17,,7,6,,,6,7,,,,,1,7,19,43,26,32,5,8,1,,,1,4,6,3,,12,,6,11,,275
19,Iowa,,3,,,3,,,,,,,,,,,,,,,6,5,19,45,,11,13,16,1,,,,,,,,,,7,,129
20,Kansas,,16,,36,4,4,13,16,,9,9,,,,,,,,,8,11,11,24,6,,3,,,,,,,,,,6,20,,10,206
21,Kentucky,,,,8,13,4,4,3,3,,,,,,,,,,2,5,,12,25,12,4,6,13,,,,5,11,23,27,5,14,32,1,,232
22,Louisiana,,,,6,15,11,2,,,,,,,,,,,,6,12,,47,25,25,38,7,1,,1,,15,,2,,9,6,13,,,241
23,Maine,,,15,77,43,32,12,28,13,22,2,14,31,21,,,,,3,,8,7,4,,1,,,,,,3,,3,12,2,3,28,,,384
24,Maryland,,20,6,46,47,76,70,73,46,22,5,9,21,6,,,,,,6,10,16,20,18,15,3,10,4,3,,6,,1,7,9,19,55,26,17,692
25,Massachusetts,,5,1,8,16,16,12,15,12,16,,1,11,4,,,,,,12,117,94,60,50,58,10,9,,4,5,14,2,6,6,18,32,33,10,16,673
26,Michigan,,14,,10,9,9,9,3,9,,,,2,6,,,,,9,1,28,119,49,34,40,26,15,5,8,1,9,2,2,11,6,61,207,36,40,780
27,Minnesota,,28,9,11,33,20,25,25,19,11,5,16,,,,,,,,,5,,2,1,,,,6,,,1,,,,,,3,,,220
